ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
1,Computer Science,Male,Pakistani,Punjab,6th,Intermediate,Intermediate,Below 30K,NO,NO,4,Matric,FSc/ ICS,87,79,3.11,3.29,3.26,B,3.22,B,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,2,3,4,3,3,3,3,3,2,4,5,3,3,4,4,5,5,5,5,4,5,5,1,2,3,5,3,3,2,3,3,2,4,2,2,4,3,5,2,3,2,4,5,Group study,Late night,3~4 hours,
2,Computer Science,Male,Pakistani,Punjab,8th,Matric,Below Matric,Between 50K~1Lac,NO,NO,1,Matric,FSc/ ICS,91,91,2.91,2.58,3.29,B,2.92,C,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,1,5,1,1,1,5,5,3,1,1,1,4,1,3,1,3,3,3,3,4,3,3,2,4,4,4,1,1,5,5,5,1,1,1,1,5,1,5,5,1,3,2,1,Independent study,Day time,5~6 hours,
3,Computer Science,Female,Pakistani,KPK,8th,Intermediate,Matric,Between 50K~1Lac,YES,YES,4,Matric,FSc/ ICS,86,87.6,3.06,3,2.65,C,2.91,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 40,Notes taking has no relation with my academic performance,3,1,1,1,3,3,1,1,2,3,1,1,4,4,3,5,5,3,4,4,5,5,5,5,2,5,5,5,3,3,4,4,3,4,2,4,3,5,5,5,3,5,5,Independent study,Day time,3~4 hours,
4,Computer Science,Male,Pakistani,Punjab,6th,Matric,Below Matric,Below 30K,NO,YES,4,Matric,FSc/ ICS,91.45,98.27,2.98,2.96,2.92,C,2.95,C,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Male instructor,Number of students does not effect my performance,I take notes during lecture,5,3,4,3,4,4,4,3,2,3,4,2,4,3,5,4,5,4,4,4,4,5,3,3,3,4,3,4,4,3,4,5,3,3,4,3,4,5,2,3,3,4,4,Independent study,Day time,1~2 hours,
5,Computer Science,Female,Pakistani,Punjab,8th,Matric,BS,Between 30K~50K,NO,YES,3,Matric,FSc/ ICS,93,85,3.26,3.26,2.06,D,2.87,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 40,I take notes during lecture,1,3,4,4,3,5,2,5,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,5,4,5,4,4,4,4,4,4,4,4,4,3,4,2,2,Independent study,Late night,3~4 hours,
6,Bio-Sciences,Female,Pakistani,Sindh,7th,BS,MS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,80,75,2.9,2.8,2.7,C,2.80,C,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,2,3,3,3,3,3,2,2,4,3,3,4,4,5,5,5,5,5,5,5,5,2,4,3,5,3,3,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,Group study,Day time,1~2 hours,
7,Bio-Sciences,Male,Pakistani,Punjab,7th,Intermediate,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,81,77,2.82,2.32,2.44,D,2.52,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,3,3,4,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Day time,1~2 hours,
8,BIOINFORMATICS ,Female,Pakistani,Federal/ Capital,7th,MS,MS,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,80,70,3.01,2.45,2.91,C,2.78,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,4,3,4,3,4,4,1,4,5,3,5,5,4,5,5,5,3,4,5,5,3,4,2,4,4,1,3,3,4,4,5,3,5,4,3,4,3,4,3,4,4,Group study,Late night,7~8 hours,
9,Bio-Sciences,Female,Pakistani,Federal/ Capital,7th,Intermediate,Intermediate,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,92,92,3.82,3.89,3.91,A,3.87,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,2,2,2,2,2,2,2,1,4,4,2,2,2,3,4,4,2,4,4,3,3,2,2,2,2,2,2,5,4,4,4,4,4,4,4,2,4,2,2,3,2,2,Independent study,Day time,3~4 hours,
10,Bio-Sciences,Male,Pakistani,KPK,7th,Intermediate,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,75,74,2.9,2.64,2.9,C,2.81,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 50,I take notes during lecture,4,2,4,4,4,2,4,4,1,5,5,4,4,4,4,5,4,4,4,4,3,4,4,4,5,4,4,4,5,4,4,2,4,4,5,4,4,5,5,5,5,4,2,Independent study,Day time,3~4 hours,
